,Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,DateIn,DateRetrofit,DateMothball,DateOut,lat,lon,EIC,projectID,bus,busmap,state
18,Walter Bouldin Dam 2,hydro,Reservoir,PP,US,75.0,,,,,,1967,,, ,32.583889,-86.283056,,2,,Alabama,AL
19,Walter Bouldin Dam 3,hydro,Reservoir,PP,US,75.0,,,,,,1967,,, ,32.583889,-86.283056,,3,,Alabama,AL
20,Gadsden 1,OCGT,OCGT,PP,US,69.0,,,,,,1949,,,2023,34.0128,-85.9708,,1,,Alabama,AL
21,Gadsden 2,OCGT,OCGT,PP,US,69.0,,,,,,1949,,,2023,34.0128,-85.9708,,2,,Alabama,AL
22,Copper 1,OCGT,OCGT,PP,US,86.9,,,,,,1980,,,2030,31.7569,-106.375,,1,,Texas,TX
23,Greene County 1,OCGT,OCGT,PP,US,299.2,,,,,,1965,,, ,32.6017,-87.7811,,1,,Alabama,AL
24,Greene County 2,OCGT,OCGT,PP,US,269.2,,,,,,1966,,, ,32.6017,-87.7811,,2,,Alabama,AL
25,Greene County 3,OCGT,OCGT,PP,US,80.0,,,,,,1996,,, ,32.6017,-87.7811,,GT10,,Alabama,AL
26,Greene County 4,OCGT,OCGT,PP,US,80.0,,,,,,1996,,, ,32.6017,-87.7811,,GT2,,Alabama,AL
27,Greene County 5,OCGT,OCGT,PP,US,80.0,,,,,,1995,,, ,32.6017,-87.7811,,GT3,,Alabama,AL
28,Greene County 6,OCGT,OCGT,PP,US,80.0,,,,,,1995,,, ,32.6017,-87.7811,,GT4,,Alabama,AL
29,Greene County 7,OCGT,OCGT,PP,US,80.0,,,,,,1995,,, ,32.6017,-87.7811,,GT5,,Alabama,AL
30,Greene County 8,OCGT,OCGT,PP,US,80.0,,,,,,1995,,, ,32.6017,-87.7811,,GT6,,Alabama,AL
31,Greene County 9,OCGT,OCGT,PP,US,80.0,,,,,,1995,,, ,32.6017,-87.7811,,GT7,,Alabama,AL
32,Greene County 10,OCGT,OCGT,PP,US,80.0,,,,,,1996,,, ,32.6017,-87.7811,,GT8,,Alabama,AL
33,Greene County 11,OCGT,OCGT,PP,US,80.0,,,,,,1996,,, ,32.6017,-87.7811,,GT9,,Alabama,AL
34,H Neely Henry Dam 1,hydro,Reservoir,PP,US,24.3,,,,,,1966,,, ,33.7845,-86.0524,,1,,Alabama,AL
35,H Neely Henry Dam 2,hydro,Reservoir,PP,US,24.3,,,,,,1966,,, ,33.7845,-86.0524,,2,,Alabama,AL
36,H Neely Henry Dam 3,hydro,Reservoir,PP,US,24.3,,,,,,1966,,, ,33.7845,-86.0524,,3,,Alabama,AL
37,Holt Dam 1,hydro,Reservoir,PP,US,46.9,,,,,,1968,,, ,33.2553,-87.4495,,1,,Alabama,AL
38,Jordan Dam 1,hydro,Reservoir,PP,US,25.0,,,,,,1929,,, ,32.6189,-86.2548,,1,,Alabama,AL
39,Jordan Dam 2,hydro,Reservoir,PP,US,25.0,,,,,,1929,,, ,32.6189,-86.2548,,2,,Alabama,AL
40,Jordan Dam 3,hydro,Reservoir,PP,US,25.0,,,,,,1929,,, ,32.6189,-86.2548,,3,,Alabama,AL
41,Jordan Dam 4,hydro,Reservoir,PP,US,25.0,,,,,,1929,,, ,32.6189,-86.2548,,4,,Alabama,AL
42,Logan Martin Dam 1,hydro,Reservoir,PP,US,42.7,,,,,,1964,,, ,33.425878,-86.337547,,1,,Alabama,AL
43,Logan Martin Dam 2,hydro,Reservoir,PP,US,42.7,,,,,,1964,,, ,33.425878,-86.337547,,2,,Alabama,AL
44,Logan Martin Dam 3,hydro,Reservoir,PP,US,42.7,,,,,,1964,,, ,33.425878,-86.337547,,3,,Alabama,AL
45,Lay Dam 1,hydro,Reservoir,PP,US,29.5,,,,,,1968,,, ,32.9633,-86.5187,,1,,Alabama,AL
46,Lay Dam 2,hydro,Reservoir,PP,US,29.5,,,,,,1968,,, ,32.9633,-86.5187,,2,,Alabama,AL
47,Lay Dam 3,hydro,Reservoir,PP,US,29.5,,,,,,1967,,, ,32.9633,-86.5187,,3,,Alabama,AL
48,Lay Dam 4,hydro,Reservoir,PP,US,29.5,,,,,,1967,,, ,32.9633,-86.5187,,4,,Alabama,AL
49,Lay Dam 5,hydro,Reservoir,PP,US,29.5,,,,,,1967,,, ,32.9633,-86.5187,,5,,Alabama,AL
50,Lay Dam 6,hydro,Reservoir,PP,US,29.5,,,,,,1967,,, ,32.9633,-86.5187,,6,,Alabama,AL
51,Martin Dam 1,hydro,Reservoir,PP,US,50.2,,,,,,1927,,, ,32.680394,-85.911442,,1,,Alabama,AL
52,Martin Dam 2,hydro,Reservoir,PP,US,50.2,,,,,,1927,,, ,32.680394,-85.911442,,2,,Alabama,AL
53,Martin Dam 3,hydro,Reservoir,PP,US,50.2,,,,,,1927,,, ,32.680394,-85.911442,,3,,Alabama,AL
54,Martin Dam 4,hydro,Reservoir,PP,US,60.0,,,,,,1952,,, ,32.680394,-85.911442,,4,,Alabama,AL
55,Mitchell Dam 1,hydro,Reservoir,PP,US,20.0,,,,,,1949,,, ,32.806025,-86.444892,,4,,Alabama,AL
56,Mitchell Dam 2,hydro,Reservoir,PP,US,50.0,,,,,,1985,,, ,32.806025,-86.444892,,5,,Alabama,AL
57,Mitchell Dam 3,hydro,Reservoir,PP,US,50.0,,,,,,1985,,, ,32.806025,-86.444892,,6,,Alabama,AL
58,Mitchell Dam 4,hydro,Reservoir,PP,US,50.0,,,,,,1985,,, ,32.806025,-86.444892,,7,,Alabama,AL
59,Lewis Smith Dam 1,hydro,Reservoir,PP,US,90.5,,,,,,1961,,, ,33.9406,-87.1077,,1,,Alabama,AL
60,Lewis Smith Dam 2,hydro,Reservoir,PP,US,90.5,,,,,,1962,,, ,33.9406,-87.1077,,2,,Alabama,AL
61,Thurlow Dam 1,hydro,Reservoir,PP,US,40.5,,,,,,1931,,, ,32.535436,-85.887614,,1,,Alabama,AL
62,Thurlow Dam 2,hydro,Reservoir,PP,US,40.5,,,,,,1931,,, ,32.535436,-85.887614,,2,,Alabama,AL
63,Thurlow Dam 3,hydro,Reservoir,PP,US,10.0,,,,,,1931,,, ,32.535436,-85.887614,,3,,Alabama,AL
64,Weiss Dam 1,hydro,Reservoir,PP,US,29.2,,,,,,1962,,, ,34.172142,-85.753806,,1,,Alabama,AL
65,Weiss Dam 2,hydro,Reservoir,PP,US,29.2,,,,,,1961,,, ,34.172142,-85.753806,,2,,Alabama,AL
66,Weiss Dam 3,hydro,Reservoir,PP,US,29.2,,,,,,1961,,, ,34.172142,-85.753806,,3,,Alabama,AL
67,Yates Dam 1,hydro,Reservoir,PP,US,25.5,,,,,,1928,,, ,32.5743,-85.8901,,1,,Alabama,AL
68,Yates Dam 2,hydro,Reservoir,PP,US,25.0,,,,,,1928,,, ,32.5743,-85.8901,,2,,Alabama,AL
69,E C Gaston 1,OCGT,OCGT,PP,US,272.0,,,,,,1960,,, ,33.244211,-86.458056,,1,,Alabama,AL
70,E C Gaston 2,OCGT,OCGT,PP,US,272.0,,,,,,1960,,, ,33.244211,-86.458056,,2,,Alabama,AL
71,E C Gaston 3,OCGT,OCGT,PP,US,272.0,,,,,,1961,,, ,33.244211,-86.458056,,3,,Alabama,AL
72,E C Gaston 4,coal,coal,PP,US,952.0,,,,,,1974,,, ,33.244211,-86.458056,,5,,Alabama,AL
73,E C Gaston 5,oil,oil,PP,US,21.2,,,,,,1970,,, ,33.244211,-86.458056,,GT4,,Alabama,AL
74,E C Gaston 6,OCGT,OCGT,PP,US,244.8,,,,,,1962,,, ,33.244211,-86.458056,,ST4,,Alabama,AL
75,Madelia 1,oil,oil,PP,US,3.1,,,,,,2001,,, ,44.0501,-94.4178,,1,,Minnesota,MN
76,Madelia 2,oil,oil,PP,US,2.0,,,,,,1965,,, ,44.0501,-94.4178,,2,,Minnesota,MN
77,Madelia 3,oil,oil,PP,US,1.1,,,,,,1959,,, ,44.0501,-94.4178,,3,,Minnesota,MN
78,Madelia 4,oil,oil,PP,US,4.3,,,,,,1973,,, ,44.0501,-94.4178,,4,,Minnesota,MN
79,Madelia 5,oil,oil,PP,US,1.3,,,,,,1954,,, ,44.0501,-94.4178,,5,,Minnesota,MN
80,Rollins 1,hydro,Reservoir,PP,US,12.1,,,,,,1980,,, ,39.134259,-120.953341,,1P,,California,CA
81,Millers Ferry 1,hydro,Reservoir,PP,US,33.7,,,,,,1970,,, ,32.100881,-87.399767,,1,,Alabama,AL
82,Millers Ferry 2,hydro,Reservoir,PP,US,33.7,,,,,,1970,,, ,32.100881,-87.399767,,2,,Alabama,AL
83,Millers Ferry 3,hydro,Reservoir,PP,US,33.7,,,,,,1970,,, ,32.100881,-87.399767,,3,,Alabama,AL
84,Browns Ferry 1,nuclear,nuclear,PP,US,1281.0,,,,,,1974,,, ,34.7042,-87.1189,,1,,Alabama,AL
85,Browns Ferry 2,nuclear,nuclear,PP,US,1281.0,,,,,,1975,,, ,34.7042,-87.1189,,2,,Alabama,AL
86,Browns Ferry 3,nuclear,nuclear,PP,US,1292.0,,,,,,1977,,, ,34.7042,-87.1189,,3,,Alabama,AL
87,Colbert 1,OCGT,OCGT,PP,US,59.5,,,,,,1972,,, ,34.7439,-87.8486,,GT1,,Alabama,AL
88,Colbert 2,OCGT,OCGT,PP,US,59.5,,,,,,1972,,, ,34.7439,-87.8486,,GT2,,Alabama,AL
89,Colbert 3,OCGT,OCGT,PP,US,59.5,,,,,,1972,,, ,34.7439,-87.8486,,GT3,,Alabama,AL
90,Colbert 4,OCGT,OCGT,PP,US,59.5,,,,,,1972,,, ,34.7439,-87.8486,,GT4,,Alabama,AL
91,Colbert 5,OCGT,OCGT,PP,US,59.5,,,,,,1972,,, ,34.7439,-87.8486,,GT5,,Alabama,AL
92,Colbert 6,OCGT,OCGT,PP,US,59.5,,,,,,1972,,, ,34.7439,-87.8486,,GT6,,Alabama,AL
93,Colbert 7,OCGT,OCGT,PP,US,59.5,,,,,,1972,,, ,34.7439,-87.8486,,GT7,,Alabama,AL
94,Colbert 8,OCGT,OCGT,PP,US,59.5,,,,,,1972,,, ,34.7439,-87.8486,,GT8,,Alabama,AL
95,Guntersville 1,hydro,Reservoir,PP,US,28.8,,,,,,1939,,, ,34.421272,-86.393931,,1,,Alabama,AL
96,Guntersville 2,hydro,Reservoir,PP,US,28.8,,,,,,1939,,, ,34.421272,-86.393931,,2,,Alabama,AL
97,Guntersville 3,hydro,Reservoir,PP,US,28.8,,,,,,1939,,, ,34.421272,-86.393931,,3,,Alabama,AL
98,Guntersville 4,hydro,Reservoir,PP,US,28.8,,,,,,1952,,, ,34.421272,-86.393931,,4,,Alabama,AL
99,Wheeler Dam 1,hydro,Reservoir,PP,US,35.1,,,,,,1936,,, ,34.8069,-87.3819,,1,,Alabama,AL
100,Wheeler Dam 2,hydro,Reservoir,PP,US,36.0,,,,,,1963,,, ,34.8069,-87.3819,,10,,Alabama,AL
101,Wheeler Dam 3,hydro,Reservoir,PP,US,43.6,,,,,,1963,,, ,34.8069,-87.3819,,11,,Alabama,AL
102,Wheeler Dam 4,hydro,Reservoir,PP,US,35.1,,,,,,1937,,, ,34.8069,-87.3819,,2,,Alabama,AL
103,Wheeler Dam 5,hydro,Reservoir,PP,US,35.1,,,,,,1941,,, ,34.8069,-87.3819,,3,,Alabama,AL
104,Wheeler Dam 6,hydro,Reservoir,PP,US,35.1,,,,,,1941,,, ,34.8069,-87.3819,,4,,Alabama,AL
105,Wheeler Dam 7,hydro,Reservoir,PP,US,35.1,,,,,,1948,,, ,34.8069,-87.3819,,5,,Alabama,AL
106,Wheeler Dam 8,hydro,Reservoir,PP,US,35.1,,,,,,1949,,, ,34.8069,-87.3819,,6,,Alabama,AL
107,Wheeler Dam 9,hydro,Reservoir,PP,US,35.1,,,,,,1949,,, ,34.8069,-87.3819,,7,,Alabama,AL
108,Wheeler Dam 10,hydro,Reservoir,PP,US,35.1,,,,,,1950,,, ,34.8069,-87.3819,,8,,Alabama,AL
109,Wheeler Dam 11,hydro,Reservoir,PP,US,43.6,,,,,,1962,,, ,34.8069,-87.3819,,9,,Alabama,AL
110,Gantt 1,hydro,Reservoir,PP,US,1.2,,,,,,1926,,, ,31.4033,-86.479469,,3,,Alabama,AL
111,Gantt 2,hydro,Reservoir,PP,US,1.8,,,,,,1985,,, ,31.4033,-86.479469,,4,,Alabama,AL
112,J K Smith 1,OCGT,OCGT,PP,US,149.0,,,,,,1999,,, ,37.8833,-84.1017,,GT1,,Kentucky,KY
113,J K Smith 2,OCGT,OCGT,PP,US,98.0,,,,,,2010,,, ,37.8833,-84.1017,,GT10,,Kentucky,KY
114,J K Smith 3,OCGT,OCGT,PP,US,149.0,,,,,,1999,,, ,37.8833,-84.1017,,GT2,,Kentucky,KY
115,J K Smith 4,OCGT,OCGT,PP,US,149.0,,,,,,1999,,, ,37.8833,-84.1017,,GT3,,Kentucky,KY
116,J K Smith 5,OCGT,OCGT,PP,US,108.0,,,,,,2001,,, ,37.8833,-84.1017,,GT4,,Kentucky,KY
117,J K Smith 6,OCGT,OCGT,PP,US,108.0,,,,,,2001,,, ,37.8833,-84.1017,,GT5,,Kentucky,KY
118,J K Smith 7,OCGT,OCGT,PP,US,98.0,,,,,,2005,,, ,37.8833,-84.1017,,GT6,,Kentucky,KY
119,J K Smith 8,OCGT,OCGT,PP,US,98.0,,,,,,2005,,, ,37.8833,-84.1017,,GT7,,Kentucky,KY
120,J K Smith 9,OCGT,OCGT,PP,US,98.0,,,,,,2010,,, ,37.8833,-84.1017,,GT9,,Kentucky,KY
121,Point A 1,hydro,Reservoir,PP,US,1.6,,,,,,1925,,, ,31.361146,-86.518307,,1,,Alabama,AL
122,Point A 2,hydro,Reservoir,PP,US,1.6,,,,,,1925,,, ,31.361146,-86.518307,,2,,Alabama,AL
123,Point A 3,hydro,Reservoir,PP,US,2.0,,,,,,1949,,, ,31.361146,-86.518307,,3,,Alabama,AL
124,Platte 1,coal,coal,PP,US,109.8,,,,,,1982,,, ,40.854765,-98.348222,,1,,Nebraska,NE
125,Whelan Energy Center 1,coal,coal,PP,US,76.3,,,,,,1981,,, ,40.580872,-98.312437,,1,,Nebraska,NE
126,Whelan Energy Center 2,coal,coal,PP,US,248.0,,,,,,2011,,, ,40.580872,-98.312437,,2,,Nebraska,NE
127,Annex Creek 1,hydro,Reservoir,PP,US,1.8,,,,,,1915,,, ,58.3176,-134.101,,5,,Alaska,AK
128,Annex Creek 2,hydro,Reservoir,PP,US,2.2,,,,,,1915,,, ,58.3176,-134.101,,6,,Alaska,AK
129,Gold Creek 1,hydro,Reservoir,PP,US,0.8,,,,,,1951,,, ,58.3107,-134.4174,,1,,Alaska,AK
130,Gold Creek 2,hydro,Reservoir,PP,US,0.4,,,,,,1914,,, ,58.3107,-134.4174,,2,,Alaska,AK
131,Gold Creek 3,hydro,Reservoir,PP,US,0.4,,,,,,1914,,, ,58.3107,-134.4174,,3,,Alaska,AK
132,Gold Creek 4,oil,oil,PP,US,1.2,,,,,,1952,,, ,58.3107,-134.4174,,IC1,,Alaska,AK
133,Gold Creek 5,oil,oil,PP,US,1.2,,,,,,1954,,, ,58.3107,-134.4174,,IC2,,Alaska,AK
134,Gold Creek 6,oil,oil,PP,US,1.1,,,,,,1961,,, ,58.3107,-134.4174,,IC3,,Alaska,AK
135,Gold Creek 7,oil,oil,PP,US,3.5,,,,,,1963,,, ,58.3107,-134.4174,,IC4,,Alaska,AK
136,Gold Creek 8,oil,oil,PP,US,1.1,,,,,,1966,,, ,58.3107,-134.4174,,IC5,,Alaska,AK
137,Lemon Creek 1,oil,oil,PP,US,2.5,,,,,,1969,,, ,58.3536,-134.4953,,1,,Alaska,AK
138,Lemon Creek 2,oil,oil,PP,US,2.6,,,,,,1969,,, ,58.3536,-134.4953,,2,,Alaska,AK
139,Lemon Creek 3,oil,oil,PP,US,2.6,,,,,,1974,,, ,58.3536,-134.4953,,3,,Alaska,AK
140,Lemon Creek 4,oil,oil,PP,US,18.6,,,,,,1980,,, ,58.3536,-134.4953,,5,,Alaska,AK
141,Lemon Creek 5,oil,oil,PP,US,18.6,,,,,,1983,,, ,58.3536,-134.4953,,6,,Alaska,AK
142,Lemon Creek 6,oil,oil,PP,US,2.8,,,,,,1983,,, ,58.3536,-134.4953,,7,,Alaska,AK
143,Lemon Creek 7,oil,oil,PP,US,2.8,,,,,,1984,,, ,58.3536,-134.4953,,IC10,,Alaska,AK
144,Lemon Creek 8,oil,oil,PP,US,2.8,,,,,,1984,,, ,58.3536,-134.4953,,IC11,,Alaska,AK
145,Lemon Creek 9,oil,oil,PP,US,2.8,,,,,,1984,,, ,58.3536,-134.4953,,IC12,,Alaska,AK
146,Lemon Creek 10,oil,oil,PP,US,2.8,,,,,,1985,,, ,58.3536,-134.4953,,IC8,,Alaska,AK
147,Lemon Creek 11,oil,oil,PP,US,2.8,,,,,,1985,,, ,58.3536,-134.4953,,IC9,,Alaska,AK
148,Salmon Creek 1 1,hydro,Reservoir,PP,US,8.5,,,,,,1984,,, ,58.3269,-134.4631,,HY7,,Alaska,AK
149,Skagway 1,hydro,Reservoir,PP,US,0.4,,,,,,1957,,, ,59.4545,-135.3131,,1,,Alaska,AK
150,Skagway 2,hydro,Reservoir,PP,US,0.1,,,,,,1909,,, ,59.4545,-135.3131,,2,,Alaska,AK
151,Skagway 3,hydro,Reservoir,PP,US,0.3,,,,,,1981,,, ,59.4545,-135.3131,,3,,Alaska,AK
152,Skagway 4,hydro,Reservoir,PP,US,0.2,,,,,,1987,,, ,59.4545,-135.3131,,4,,Alaska,AK
153,Skagway 5,oil,oil,PP,US,0.8,,,,,,1986,,, ,59.4545,-135.3131,,6A,,Alaska,AK
154,Skagway 6,oil,oil,PP,US,1.1,,,,,,1996,,, ,59.4545,-135.3131,,7A,,Alaska,AK
155,Skagway 7,oil,oil,PP,US,0.8,,,,,,2022,,, ,59.4545,-135.3131,,8B,,Alaska,AK
156,Skagway 8,oil,oil,PP,US,1.0,,,,,,2009,,, ,59.4545,-135.3131,,9,,Alaska,AK
157,Haines 1,oil,oil,PP,US,1.2,,,,,,1991,,, ,59.235931,-135.446228,,10,,Alaska,AK
158,Haines 2,oil,oil,PP,US,1.9,,,,,,2006,,, ,59.235931,-135.446228,,11,,Alaska,AK
159,Haines 3,oil,oil,PP,US,1.5,,,,,,2021,,, ,59.235931,-135.446228,,12,,Alaska,AK
160,Haines 4,oil,oil,PP,US,0.6,,,,,,1968,,, ,59.235931,-135.446228,,5,,Alaska,AK
161,Haines 5,oil,oil,PP,US,2.8,,,,,,1995,,, ,59.235931,-135.446228,,7A,,Alaska,AK
162,Haines 6,oil,oil,PP,US,1.6,,,,,,1996,,, ,59.235931,-135.446228,,IC8A,,Alaska,AK
163,Swan Lake 1,hydro,Reservoir,PP,US,11.3,,,,,,1984,,, ,55.615208,-131.356111,,1,,Alaska,AK
164,Swan Lake 2,hydro,Reservoir,PP,US,11.3,,,,,,1984,,, ,55.615208,-131.356111,,2,,Alaska,AK
165,Terror Lake Microgrid 1,hydro,Reservoir,PP,US,11.2,,,,,,1984,,, ,57.6861,-152.895,,1,,Alaska,AK
166,Terror Lake Microgrid 2,hydro,Reservoir,PP,US,11.2,,,,,,1984,,, ,57.6861,-152.895,,2,,Alaska,AK
167,Terror Lake Microgrid 3,hydro,Reservoir,PP,US,11.2,,,,,,2014,,, ,57.6861,-152.895,,3,,Alaska,AK
168,Venice Hydro 1,hydro,Reservoir,PP,US,10.1,,,,,,1982,,, ,34.01135,-118.4168,,1,,California,CA
169,Hank Nikkels Plant 1 1,OCGT,OCGT,PP,US,48.9,,,,,,2007,,, ,61.2221,-149.8661,,3R,,Alaska,AK
170,Hank Nikkels Plant 1 2,OCGT,OCGT,PP,US,27.0,,,,,,1972,,, ,61.2221,-149.8661,,4,,Alaska,AK
171,Hank Nikkels Plant 1 3,oil,oil,PP,US,2.0,,,,,,2012,,, ,61.2221,-149.8661,,P1 BS,,Alaska,AK
172,Eklutna Hydro Project 1,hydro,Reservoir,PP,US,22.2,,,,,,1955,,, ,61.475211,-149.15009,,1,,Alaska,AK
173,Eklutna Hydro Project 2,hydro,Reservoir,PP,US,22.2,,,,,,1955,,, ,61.475211,-149.15009,,2,,Alaska,AK
174,Snettisham 1,hydro,Reservoir,PP,US,23.6,,,,,,1973,,, ,58.1415,-133.737,,1,,Alaska,AK
175,Snettisham 2,hydro,Reservoir,PP,US,23.6,,,,,,1973,,, ,58.1415,-133.737,,2,,Alaska,AK
176,Snettisham 3,hydro,Reservoir,PP,US,31.0,,,,,,1990,,, ,58.1415,-133.737,,3,,Alaska,AK
177,Aurora Energy LLC Chena 1,coal,coal,PP,US,5.0,,,,,,1952,,, ,64.847743,-147.735063,,1,,Alaska,AK
178,Aurora Energy LLC Chena 2,coal,coal,PP,US,2.5,,,,,,1952,,, ,64.847743,-147.735063,,2,,Alaska,AK
179,Aurora Energy LLC Chena 3,coal,coal,PP,US,20.0,,,,,,1975,,, ,64.847743,-147.735063,,5,,Alaska,AK
180,Ketchikan 1,hydro,Reservoir,PP,US,1.4,,,,,,1952,,, ,55.344641,-131.633425,,3,,Alaska,AK
181,Ketchikan 2,hydro,Reservoir,PP,US,1.4,,,,,,1938,,, ,55.344641,-131.633425,,4,,Alaska,AK
182,Ketchikan 3,hydro,Reservoir,PP,US,1.4,,,,,,1954,,, ,55.344641,-131.633425,,5,,Alaska,AK
183,S W Bailey 1,oil,oil,PP,US,4.5,,,,,,1969,,, ,55.357397,-131.69696,,1,,Alaska,AK
184,S W Bailey 2,oil,oil,PP,US,4.5,,,,,,1970,,, ,55.357397,-131.69696,,2,,Alaska,AK
185,S W Bailey 3,oil,oil,PP,US,6.4,,,,,,1976,,, ,55.357397,-131.69696,,3,,Alaska,AK
186,S W Bailey 4,oil,oil,PP,US,10.5,,,,,,1998,,, ,55.357397,-131.69696,,4,,Alaska,AK
187,Ashokan 1,hydro,Reservoir,PP,US,2.3,,,,,,1982,,, ,41.949,-74.2063,,1,,New York,NY
188,Ashokan 2,hydro,Reservoir,PP,US,2.3,,,,,,1982,,, ,41.949,-74.2063,,2,,New York,NY
189,Snake River 1,oil,oil,PP,US,3.8,,,,,,1991,,, ,64.505331,-165.429814,,12,,Alaska,AK
190,Snake River 2,oil,oil,PP,US,2.0,,,,,,1999,,, ,64.505331,-165.429814,,14,,Alaska,AK
191,Snake River 3,oil,oil,PP,US,5.2,,,,,,2007,,, ,64.505331,-165.429814,,15,,Alaska,AK
192,Snake River 4,oil,oil,PP,US,5.2,,,,,,2007,,, ,64.505331,-165.429814,,16,,Alaska,AK
193,Snake River 5,oil,oil,PP,US,0.4,,,,,,2013,,, ,64.505331,-165.429814,,18,,Alaska,AK
194,Snake River 6,onwind,onwind,PP,US,0.9,,,,,,2013,,, ,64.505331,-165.429814,,EWT 1,,Alaska,AK
195,Snake River 7,onwind,onwind,PP,US,0.9,,,,,,2013,,, ,64.505331,-165.429814,,EWT 2,,Alaska,AK
196,Petersburg 1,hydro,Reservoir,PP,US,1.6,,,,,,1954,,,2023,56.81104,-132.957091,,3,,Alaska,AK
197,Petersburg 2,oil,oil,PP,US,2.6,,,,,,1972,,, ,56.81104,-132.957091,,IC1,,Alaska,AK
198,Petersburg 3,oil,oil,PP,US,1.2,,,,,,1965,,, ,56.81104,-132.957091,,IC3,,Alaska,AK
199,Petersburg 4,oil,oil,PP,US,0.6,,,,,,1979,,, ,56.81104,-132.957091,,IC4,,Alaska,AK
200,Petersburg 5,oil,oil,PP,US,0.8,,,,,,1979,,, ,56.81104,-132.957091,,IC5,,Alaska,AK
201,Petersburg 6,oil,oil,PP,US,2.6,,,,,,1993,,, ,56.81104,-132.957091,,IC6,,Alaska,AK
202,Petersburg 7,oil,oil,PP,US,2.6,,,,,,2001,,, ,56.81104,-132.957091,,IC7,,Alaska,AK
203,Petersburg 8,oil,oil,PP,US,2.5,,,,,,2012,,, ,56.81104,-132.957091,,IC8,,Alaska,AK
204,Seward (AK) 1,oil,oil,PP,US,2.5,,,,,,1975,,, ,60.130922,-149.43501,,3,,Alaska,AK
205,Seward (AK) 2,oil,oil,PP,US,2.5,,,,,,1986,,, ,60.130922,-149.43501,,4,,Alaska,AK
206,Seward (AK) 3,oil,oil,PP,US,2.5,,,,,,1985,,, ,60.130922,-149.43501,,5,,Alaska,AK
207,Seward (AK) 4,oil,oil,PP,US,2.8,,,,,,2000,,, ,60.130922,-149.43501,,6,,Alaska,AK
208,Seward (AK) 5,oil,oil,PP,US,2.8,,,,,,2010,,, ,60.130922,-149.43501,,N1,,Alaska,AK
209,Seward (AK) 6,oil,oil,PP,US,2.5,,,,,,2010,,, ,60.130922,-149.43501,,N2,,Alaska,AK
210,Blue Lake Hydro 1,hydro,Reservoir,PP,US,5.3,,,,,,2014,,, ,57.0516,-135.2297,,3,,Alaska,AK
211,Blue Lake Hydro 2,hydro,Reservoir,PP,US,5.3,,,,,,2014,,, ,57.0516,-135.2297,,4,,Alaska,AK
212,Blue Lake Hydro 3,hydro,Reservoir,PP,US,5.3,,,,,,2014,,, ,57.0516,-135.2297,,5,,Alaska,AK
