,Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,DateIn,DateRetrofit,DateMothball,DateOut,lat,lon,EIC,projectID,bus,busmap,state
0,Sand Point 1,oil,oil,PP,US,0.9,,,,,,2000,,, ,55.339722,-160.497222,,1,,Alaska,AK
1,Sand Point 2,oil,oil,PP,US,0.9,,,,,,2000,,, ,55.339722,-160.497222,,2,,Alaska,AK
2,Sand Point 3,oil,oil,PP,US,0.5,,,,,,2010,,, ,55.339722,-160.497222,,3,,Alaska,AK
3,Sand Point 4,oil,oil,PP,US,0.7,,,,,,2000,,,2023,55.339722,-160.497222,,5,,Alaska,AK
4,Sand Point 5,onwind,onwind,PP,US,0.5,,,,,,2011,,, ,55.339722,-160.497222,,WT1,,Alaska,AK
5,Sand Point 6,onwind,onwind,PP,US,0.5,,,,,,2011,,, ,55.339722,-160.497222,,WT2,,Alaska,AK
6,Bankhead Dam 1,hydro,Reservoir,PP,US,53.9,,,,,,1963,,, ,33.458665,-87.356823,,1,,Alabama,AL
7,Barry 1,OCGT,OCGT,PP,US,153.1,,,,,,1954,,, ,31.0069,-88.0103,,1,,Alabama,AL
8,Barry 2,OCGT,OCGT,PP,US,153.1,,,,,,1954,,, ,31.0069,-88.0103,,2,,Alabama,AL
9,Barry 3,coal,coal,PP,US,403.7,,,,,,1969,,, ,31.0069,-88.0103,,4,,Alabama,AL
10,Barry 4,coal,coal,PP,US,788.8,,,,,,1971,,, ,31.0069,-88.0103,,5,,Alabama,AL
11,Barry 5,CCGT,CCGT,PP,US,170.1,,,,,,2000,,, ,31.0069,-88.0103,,A1CT,,Alabama,AL
12,Barry 6,CCGT,CCGT,PP,US,170.1,,,,,,2000,,, ,31.0069,-88.0103,,A1CT2,,Alabama,AL
13,Barry 7,CCGT,CCGT,PP,US,195.2,,,,,,2000,,, ,31.0069,-88.0103,,A1ST,,Alabama,AL
14,Barry 8,CCGT,CCGT,PP,US,170.1,,,,,,2000,,, ,31.0069,-88.0103,,A2C1,,Alabama,AL
15,Barry 9,CCGT,CCGT,PP,US,170.1,,,,,,2000,,, ,31.0069,-88.0103,,A2C2,,Alabama,AL
16,Barry 10,CCGT,CCGT,PP,US,195.2,,,,,,2000,,, ,31.0069,-88.0103,,A2ST,,Alabama,AL
17,Walter Bouldin Dam 1,hydro,Reservoir,PP,US,75.0,,,,,,1967,,, ,32.583889,-86.283056,,1,,Alabama,AL
