Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,DateIn,DateRetrofit,DateMothball,DateOut,lat,lon,EIC,projectID,bus
Mitchell Dam 3,hydro,Reservoir,PP,US,50,,,,,,1985,,, ,32.806025,-86.444892,,6,
Mitchell Dam 4,hydro,Reservoir,PP,US,50,,,,,,1985,,, ,32.806025,-86.444892,,7,
Lewis Smith Dam 1,hydro,Reservoir,PP,US,90.5,,,,,,1961,,, ,33.9406,-87.1077,,1,
Lewis Smith Dam 2,hydro,Reservoir,PP,US,90.5,,,,,,1962,,, ,33.9406,-87.1077,,2,
Thurlow Dam 1,hydro,Reservoir,PP,US,40.5,,,,,,1931,,, ,32.535436,-85.887614,,1,
Thurlow Dam 2,hydro,Reservoir,PP,US,40.5,,,,,,1931,,, ,32.535436,-85.887614,,2,
Thurlow Dam 3,hydro,Reservoir,PP,US,10,,,,,,1931,,, ,32.535436,-85.887614,,3,
Weiss Dam 1,hydro,Reservoir,PP,US,29.2,,,,,,1962,,, ,34.172142,-85.753806,,1,
Weiss Dam 2,hydro,Reservoir,PP,US,29.2,,,,,,1961,,, ,34.172142,-85.753806,,2,
Weiss Dam 3,hydro,Reservoir,PP,US,29.2,,,,,,1961,,, ,34.172142,-85.753806,,3,
Yates Dam 1,hydro,Reservoir,PP,US,25.5,,,,,,1928,,, ,32.5743,-85.8901,,1,
Yates Dam 2,hydro,Reservoir,PP,US,25,,,,,,1928,,, ,32.5743,-85.8901,,2,
E C Gaston 1,OCGT,OCGT,PP,US,272,,,,,,1960,,, ,33.244211,-86.458056,,1,
E C Gaston 2,OCGT,OCGT,PP,US,272,,,,,,1960,,, ,33.244211,-86.458056,,2,
E C Gaston 3,OCGT,OCGT,PP,US,272,,,,,,1961,,, ,33.244211,-86.458056,,3,
E C Gaston 4,coal,coal,PP,US,952,,,,,,1974,,, ,33.244211,-86.458056,,5,
E C Gaston 5,oil,oil,PP,US,21.2,,,,,,1970,,, ,33.244211,-86.458056,,GT4,
E C Gaston 6,OCGT,OCGT,PP,US,244.8,,,,,,1962,,, ,33.244211,-86.458056,,ST4,
Madelia 1,oil,oil,PP,US,3.1,,,,,,2001,,, ,44.0501,-94.4178,,1,
Madelia 2,oil,oil,PP,US,2,,,,,,1965,,, ,44.0501,-94.4178,,2,
Madelia 3,oil,oil,PP,US,1.1,,,,,,1959,,, ,44.0501,-94.4178,,3,
Madelia 4,oil,oil,PP,US,4.3,,,,,,1973,,, ,44.0501,-94.4178,,4,
Madelia 5,oil,oil,PP,US,1.3,,,,,,1954,,, ,44.0501,-94.4178,,5,
Rollins 1,hydro,Reservoir,PP,US,12.1,,,,,,1980,,, ,39.134259,-120.953341,,1P,
Millers Ferry 1,hydro,Reservoir,PP,US,33.7,,,,,,1970,,, ,32.100881,-87.399767,,1,
Millers Ferry 2,hydro,Reservoir,PP,US,33.7,,,,,,1970,,, ,32.100881,-87.399767,,2,
Millers Ferry 3,hydro,Reservoir,PP,US,33.7,,,,,,1970,,, ,32.100881,-87.399767,,3,
Browns Ferry 1,nuclear,nuclear,PP,US,1281,,,,,,1974,,, ,34.7042,-87.1189,,1,
Browns Ferry 2,nuclear,nuclear,PP,US,1281,,,,,,1975,,, ,34.7042,-87.1189,,2,
Browns Ferry 3,nuclear,nuclear,PP,US,1292,,,,,,1977,,, ,34.7042,-87.1189,,3,
Colbert 1,OCGT,OCGT,PP,US,59.5,,,,,,1972,,, ,34.7439,-87.8486,,GT1,
Colbert 2,OCGT,OCGT,PP,US,59.5,,,,,,1972,,, ,34.7439,-87.8486,,GT2,
Colbert 3,OCGT,OCGT,PP,US,59.5,,,,,,1972,,, ,34.7439,-87.8486,,GT3,
Colbert 4,OCGT,OCGT,PP,US,59.5,,,,,,1972,,, ,34.7439,-87.8486,,GT4,
Colbert 5,OCGT,OCGT,PP,US,59.5,,,,,,1972,,, ,34.7439,-87.8486,,GT5,
Colbert 6,OCGT,OCGT,PP,US,59.5,,,,,,1972,,, ,34.7439,-87.8486,,GT6,
Colbert 7,OCGT,OCGT,PP,US,59.5,,,,,,1972,,, ,34.7439,-87.8486,,GT7,
Colbert 8,OCGT,OCGT,PP,US,59.5,,,,,,1972,,, ,34.7439,-87.8486,,GT8,
Guntersville 1,hydro,Reservoir,PP,US,28.8,,,,,,1939,,, ,34.421272,-86.393931,,1,
Guntersville 2,hydro,Reservoir,PP,US,28.8,,,,,,1939,,, ,34.421272,-86.393931,,2,
Guntersville 3,hydro,Reservoir,PP,US,28.8,,,,,,1939,,, ,34.421272,-86.393931,,3,
Guntersville 4,hydro,Reservoir,PP,US,28.8,,,,,,1952,,, ,34.421272,-86.393931,,4,
Wheeler Dam 1,hydro,Reservoir,PP,US,35.1,,,,,,1936,,, ,34.8069,-87.3819,,1,
Wheeler Dam 2,hydro,Reservoir,PP,US,36,,,,,,1963,,, ,34.8069,-87.3819,,10,
Wheeler Dam 3,hydro,Reservoir,PP,US,43.6,,,,,,1963,,, ,34.8069,-87.3819,,11,
Wheeler Dam 4,hydro,Reservoir,PP,US,35.1,,,,,,1937,,, ,34.8069,-87.3819,,2,
Wheeler Dam 5,hydro,Reservoir,PP,US,35.1,,,,,,1941,,, ,34.8069,-87.3819,,3,
Wheeler Dam 6,hydro,Reservoir,PP,US,35.1,,,,,,1941,,, ,34.8069,-87.3819,,4,
