"reference case","high economic growth","low economic growth","high oil price","low oil price","high oil and gas supply","low oil and gas supply","high zero-carbon technology cost","low zero-carbon technology cost","alternative electricity","alternative transportation","aeo2023 reference case","year","feature"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.09974262170642,2023,"residential heating"
1,1,1,1,1,1,1,1,1,1,1,1,2024,"residential heating"
1.10318188252839,1.10315933015071,1.10294525027401,1.10867777499784,1.10428156914892,1.10809380574803,1.10206865658282,1.10308735454923,1.10284463377255,1.10456169447942,1.10446421389173,0.995807969383335,2025,"residential heating"
1.09319758846964,1.09529669294841,1.09081577748286,1.1016573380896,1.09354688731098,1.103733925245,1.08756296162079,1.09357093750745,1.09341614926426,1.0931232998413,1.09343469194941,0.990198620674744,2026,"residential heating"
1.08679652032368,1.08816418453113,1.08312924979608,1.0967993408581,1.08515284445507,1.09976107704999,1.07330490370645,1.0868823560841,1.08657837357509,1.08656882270005,1.08660053659052,0.98305442319231,2027,"residential heating"
1.07981185205106,1.07988058460779,1.07519133509377,1.09037826724466,1.07365411779737,1.09275525993271,1.05951865746019,1.08006976234785,1.07876247715139,1.07961666837212,1.07984386509212,0.974437926116291,2028,"residential heating"
1.06828003184564,1.0681563291893,1.06274265008446,1.08007513334355,1.05782448934202,1.08171803700683,1.04219352795844,1.06962690038026,1.06691816652737,1.06759191183357,1.06787487598639,0.96447299226784,2029,"residential heating"
1.05240630556277,1.05198998049572,1.04648885290823,1.06445777633457,1.03794256433553,1.06574521562609,1.01955879201229,1.05386747874687,1.051137910686,1.05235399460523,1.05161233464195,0.953869747895915,2030,"residential heating"
1.03444522301608,1.03530980095857,1.02840949308351,1.04688125055574,1.01750125993455,1.05009475686563,0.99325603087892,1.03671967125105,1.03279277424891,1.0351312403723,1.03363331876979,0.943631142078532,2031,"residential heating"
1.01047148186719,1.01113747084808,1.00417460178818,1.02428131116241,0.991561396078469,1.02907198209438,0.963245614744184,1.01370010747077,1.00757535877078,1.01703761844796,1.00969652351803,0.93408042280157,2032,"residential heating"
0.991643082780918,0.992003680022588,0.984972182794442,1.00746798778955,0.974273674347732,1.01492213611865,0.942171623120862,0.996572212921846,0.98829528007948,1.00159366618736,0.991849210492695,0.925243073064392,2033,"residential heating"
0.972264206818421,0.972633479687711,0.965082047792714,0.990141065277563,0.956558481863646,0.999249200698433,0.923834060307113,0.978702216074401,0.969202505298236,0.984614407901651,0.973497956634275,0.916439082890019,2034,"residential heating"
0.95606733168164,0.954939243347606,0.94767108167988,0.974436169682115,0.941023232483361,0.984445559952744,0.907958869379147,0.96259461360701,0.952853042732303,0.967742997618472,0.956928042927242,0.907899807024196,2035,"residential heating"
0.941428037963977,0.939455504930489,0.932422241066938,0.96031032034588,0.925819036329493,0.967721150615703,0.89400148542796,0.948770690981229,0.938718103869285,0.951514337770875,0.941727996555221,0.899849495861329,2036,"residential heating"
0.928123926698247,0.927817808123023,0.918526158347005,0.945037597231415,0.911327422879781,0.954741471093438,0.880565401121741,0.935326494451878,0.925171299283848,0.935977127548304,0.92872450919002,0.891654163265716,2037,"residential heating"
0.916554251349477,0.918530601525167,0.906698547140783,0.930936984244435,0.898047830980273,0.941238321995107,0.868428425499597,0.923902377665008,0.912136918763928,0.92260574969839,0.917914426272431,0.882767083069173,2038,"residential heating"
0.905514942332027,0.90937569749678,0.896014106064815,0.917156557438621,0.885156078089916,0.929400614519765,0.858319273950258,0.910630497131648,0.899597809214603,0.911763969421641,0.906375640178359,0.874218231773285,2039,"residential heating"
0.89601231553997,0.900841886007633,0.885775260796777,0.906585681644637,0.874965987682217,0.919282371516315,0.849140338635776,0.900596343470338,0.88925173270904,0.901533196384115,0.895858536946986,0.866529779201394,2040,"residential heating"
0.886082241087578,0.891379787637616,0.875334122918589,0.89442885902719,0.864277444292753,0.908903872452448,0.838071790689912,0.891074406007638,0.879918871775884,0.891115513097223,0.885619232085653,0.85944905755374,2041,"residential heating"
0.875712297755939,0.881540104438189,0.864880760730627,0.883840436084115,0.853474343473539,0.897894843933116,0.826982934928831,0.881622853911721,0.867828108638634,0.880119945906439,0.875592662810744,0.853168810970972,2042,"residential heating"
0.865881790217048,0.871603806843769,0.854789790177609,0.874377988067544,0.843463483192591,0.8894536752099,0.819478901461551,0.871992282451548,0.85676357376649,0.869820165920307,0.865828907749648,0.847151734272549,2043,"residential heating"
0.856053451462411,0.861095118252076,0.844008737621161,0.865471528370487,0.834782751003018,0.880905249443604,0.811490832204409,0.862824440559558,0.848119202574305,0.860068301106103,0.85601862294027,0.841503311631599,2044,"residential heating"
0.846520067366382,0.851164341480227,0.833412627041632,0.856701897004544,0.828441671931182,0.872579027147073,0.803181584005643,0.853487437197819,0.840250269569759,0.850958595239349,0.846433691954139,0.835945392248998,2045,"residential heating"
0.836920633931694,0.841290153139731,0.822942111386728,0.84703716387598,0.822785768536417,0.863836395153874,0.795302940354764,0.8442561104652,0.832060159649966,0.841820103616891,0.837311298211523,0.829549931620618,2046,"residential heating"
0.827887450349628,0.832080040885635,0.813168972887861,0.837711938508481,0.816636932999875,0.854993998337516,0.787108046843623,0.835359952145837,0.824659289258555,0.83269265310621,0.828767371763225,0.823653474452521,2047,"residential heating"
0.819641141127523,0.823743598803401,0.803887369941724,0.828470900024822,0.809920042463146,0.845833576501875,0.779379641592693,0.826806059923775,0.817298442755292,0.823439807111777,0.820378018716,0.818068682088772,2048,"residential heating"
0.81175958198458,0.816317106584212,0.795681506255791,0.819897441842537,0.803079130199547,0.837806648674823,0.771450129822145,0.818701293375475,0.810036374419333,0.815050928113884,0.812288545953253,0.812422421641708,2049,"residential heating"
0.804223451024711,0.809166655493573,0.788099673867245,0.811035342915654,0.796093098713408,0.829534252063515,0.762990248896921,0.810100871891338,0.803268591243917,0.806610786811313,0.804656878595212,0.80689369187656,2050,"residential heating"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.997457668981037,2023,"residential water"
1,1,1,1,1,1,1,1,1,1,1,1,2024,"residential water"
0.979305182042021,0.97847033358369,0.979918385165585,0.978474605284981,0.98110415799005,0.979826417069136,0.977737706023122,0.978839972468992,0.978742587601676,0.981570501093441,0.98148560420135,1.00403340742977,2025,"residential water"
0.95544032810848,0.958179889919776,0.952805720669281,0.952596058925424,0.957018534806041,0.959511360058186,0.948052282109095,0.955766788238299,0.955800352752771,0.955166490820287,0.955534938671175,1.00485011480374,2026,"residential water"
0.939260638335616,0.94102940172365,0.934735195443482,0.936190140838824,0.940048070120814,0.945764425699498,0.922109467439876,0.939246409615985,0.938937493042734,0.938790824411292,0.938640131199072,1.00480986488835,2027,"residential water"
0.924230020081034,0.924189273429734,0.918232991807461,0.92303533875733,0.920904736623373,0.932612658160482,0.900587801196003,0.924700387420884,0.922596622283562,0.923825477013796,0.924000418644956,1.00355187207845,2028,"residential water"
